Partlist

Assembly variant: 

Part     Value          Package      Library             Position (mm)         Orientation

C1       100nF          C050-025X075 rcl                 (-225 89)             R180
C2       100nF          C050-025X075 rcl                 (-211 89)             R180
C3       100nF          C050-025X075 rcl                 (-197 89)             R180
C4       100nF          C050-025X075 rcl                 (-183 89)             R180
C5       100nF          C050-025X075 rcl                 (-169 89)             R180
C6       100nF          C050-025X075 rcl                 (-155 89)             R180
C7       100nF          C050-025X075 rcl                 (-141 89)             R180
C8       100nF          C050-025X075 rcl                 (-127 89)             R180
C9       100nF          C050-025X075 rcl                 (-225 54)             R180
C10      100nF          C050-025X075 rcl                 (-211 54)             R180
C11      100nF          C050-025X075 rcl                 (-197 54)             R180
C12      100nF          C050-025X075 rcl                 (-183 54)             R180
C13      100nF          C050-025X075 rcl                 (-169 54)             R180
C14      100nF          C050-025X075 rcl                 (-155 54)             R180
C15      100nF          C050-025X075 rcl                 (-141 54)             R180
C16      100nF          C050-025X075 rcl                 (-127 54)             R180
C17      10uF 10v       E15-5        rcl                 (-13.5 32)            R270
C18      100nF          C050-025X075 rcl                 (-27 82)              R0
C19      100nF          C050-025X075 rcl                 (-139 45)             R0
C20      100nF          C050-025X075 rcl                 (-97 45)              R0
C21      100nF          C050-025X075 rcl                 (-223 45)             R0
C22      100nF          C050-025X075 rcl                 (-125 45)             R0
C23      100nF          C050-025X075 rcl                 (-111 82)             R0
C24      100nF          C050-025X075 rcl                 (-17 117.1)           R0
C25      100nF          C050-025X075 rcl                 (-195 45)             R0
C26      100nF          C050-025X075 rcl                 (-167 45)             R0
C27      100nF          C050-025X075 rcl                 (-83 82)              R0
C28      100nF          C050-025X075 rcl                 (-55 82)              R0
C29      100nF          C050-025X075 rcl                 (-95.5 117.1)         R0
CN1      AGAT_SLOT      AGAT_CONP    AGAT_Slot_Connector (-7 -16)              R0
IC1      74LS253N       DIL16        74xx-eu             (-98 103)             R270
IC2      74LS253N       DIL16        74xx-eu             (-79.5 103)           R270
IC3      74LS253N       DIL16        74xx-eu             (-61 103)             R270
IC4      74LS253N       DIL16        74xx-eu             (-42 103)             R270
IC5      74LS193N       DIL16        0RB_TTL             (-28 103)             R270
IC6      74LS193N       DIL16        0RB_TTL             (-14 103)             R270
IC7      74ALS373N      DIL20        74ALS373            (-112 68)             R270
IC8      74LS257N       DIL16        74xx-eu             (-98 68)              R270
IC9      74LS257N       DIL16        74xx-eu             (-84 68)              R270
IC10     74LS257N       DIL16        74xx-eu             (-70 68)              R270
IC11     74LS32N        DIL14        74xx-eu             (-56 69.3)            R270
IC12     74ALS174N      DIL16        74ALS174            (-42 68)              R270
IC13     93427C         DIL16        93427C              (-28 68)              R270
IC14     74ALS174N      DIL16        74ALS174            (-14 68)              R270
IC15     74LS14N        DIL14        74xx-eu             (-224 32.5)           R270
IC16     74LS295N       DIL14        74LS295             (-210 32.5)           R270
IC17     74LS32N        DIL14        74xx-eu             (-196 32.5)           R270
IC18     74LS02N        DIL14        74xx-eu             (-182 32.5)           R270
IC19     74LS00N        DIL14        74xx-eu             (-168 32.5)           R270
IC20     74LS08N        DIL14        74xx-eu             (-154 32.5)           R270
IC21     82S137         DIL18        82S137              (-140 31.2)           R270
IC22     74S189         DIL16        74S189              (-126 31.2)           R270
IC23     74ALS04N       DIL14        74xx-eu             (-112 32.5)           R270
IC24     74S189         DIL16        74S189              (-98 31.2)            R270
IC25     74LS257N       DIL16        74xx-eu             (-84 31.2)            R270
IC26     4164           DIL16        0RB_Memory          (-224 103)            R270
IC27     4164           DIL16        0RB_Memory          (-210 103)            R270
IC28     4164           DIL16        0RB_Memory          (-196 103)            R270
IC29     4164           DIL16        0RB_Memory          (-182 103)            R270
IC30     4164           DIL16        0RB_Memory          (-168 103)            R270
IC31     4164           DIL16        0RB_Memory          (-154 103)            R270
IC32     4164           DIL16        0RB_Memory          (-140 103)            R270
IC33     4164           DIL16        0RB_Memory          (-126 103)            R270
IC34     4164           DIL16        0RB_Memory          (-224 68)             R270
IC35     4164           DIL16        0RB_Memory          (-210 68)             R270
IC36     4164           DIL16        0RB_Memory          (-196 68)             R270
IC37     4164           DIL16        0RB_Memory          (-182 68)             R270
IC38     4164           DIL16        0RB_Memory          (-168 68)             R270
IC39     4164           DIL16        0RB_Memory          (-154 68)             R270
IC40     4164           DIL16        0RB_Memory          (-140 68)             R270
IC41     4164           DIL16        0RB_Memory          (-126 68)             R270
R1       1k             0204/7       rcl                 (-115 117.1)          R0
R2       1k             0204/7       rcl                 (-107 96)             R90
R3       1k             0204/7       rcl                 (-105 117.1)          R0
R4       1k             0204/7       rcl                 (-107 109.5)          R90
R5       1k             0204/7       rcl                 (-86 117.1)           R0
R6       1k             0204/7       rcl                 (-89 96)              R90
R7       1k             0204/7       rcl                 (-76 117.1)           R0
R8       1k             0204/7       rcl                 (-89 109.5)           R90
R9       1k             0204/7       rcl                 (-65.5 117.1)         R0
R10      1k             0204/7       rcl                 (-70.5 96)            R90
R11      1k             0204/7       rcl                 (-55.5 117.1)         R0
R12      1k             0204/7       rcl                 (-70.5 109.5)         R90
R13      1k             0204/7       rcl                 (-45 117.1)           R0
R14      1k             0204/7       rcl                 (-51.5 96)            R90
R15      1k             0204/7       rcl                 (-35 117.1)           R0
R16      1k             0204/7       rcl                 (-51.5 109.5)         R90
R17      3k3            0204/7       rcl                 (-13.5 49)            R90
R18      2k7            0204/7       rcl                 (-228.5 20.5)         R180
